link,title,description,Related Topics,Year
https://www.ted.com/talks/ian_bremmer_the_next_global_superpower_isn_t_who_you_think?referrer=playlist-the_most_popular_ted_talks_of_2023&autoplay=true,The next global superpower isn't who you think,No description found,"global issues, politics, technology, economics, social change, government, international relations",2023
https://www.ted.com/talks/luis_von_ahn_how_to_make_learning_as_addictive_as_social_media?referrer=playlist-the_most_popular_ted_talks_of_2023&autoplay=true,How to make learning as addictive as social media,No description found,"technology, business, computers, education, communication, language, motivation, personal growth, AI, teaching, kids",2023
https://www.ted.com/talks/greg_brockman_the_inside_story_of_chatgpt_s_astonishing_potential?referrer=playlist-the_most_popular_ted_talks_of_2023&autoplay=true,The inside story of ChatGPT's astonishing potential,No description found,"technology, computers, innovation, creativity, future, language, AI, machine learning",2023
https://www.ted.com/talks/imran_chaudhri_the_disappearing_computer_and_a_world_where_you_can_take_ai_everywhere?referrer=playlist-the_most_popular_ted_talks_of_2023&autoplay=true,The disappearing computer — and a world where you can take AI everywhere,No description found,"technology, invention, computers, future, communication, AI, machine learning",2023
https://www.ted.com/talks/terry_moore_a_mysterious_design_that_appears_across_millennia?referrer=playlist-the_most_popular_ted_talks_of_2023&autoplay=true,A mysterious design that appears across millennia,No description found,"culture, design, art, history, humanity",2023
https://www.ted.com/talks/sal_khan_how_ai_could_save_not_destroy_education?referrer=playlist-the_most_popular_ted_talks_of_2023&autoplay=true,How AI could save (not destroy) education,No description found,"technology, education, AI, teaching, kids",2023
https://www.ted.com/talks/tina_yong_the_rise_of_the_trauma_essay_in_college_applications?referrer=playlist-the_most_popular_ted_talks_of_2023&autoplay=true,"The rise of the ""trauma essay"" in college applications",No description found,"education, race, success, personal growth, self, mental health, writing, identity, TEDx, youth",2023
https://www.ted.com/talks/becky_kennedy_the_single_most_important_parenting_strategy?referrer=playlist-the_most_popular_ted_talks_of_2023&autoplay=true,The single most important parenting strategy,No description found,"psychology, relationships, communication, parenting, personal growth, mental health",2023
https://www.ted.com/talks/peter_mcindoe_birds_aren_t_real_how_a_conspiracy_takes_flight?referrer=playlist-the_most_popular_ted_talks_of_2023&autoplay=true,Birds aren't real? How a conspiracy takes flight,No description found,"social change, relationships, communication, community, United States, personal growth",2023
https://www.ted.com/talks/sheryl_lee_ralph_a_3_step_guide_to_believing_in_yourself?referrer=playlist-the_most_popular_ted_talks_of_2023&autoplay=true,A 3-step guide to believing in yourself,No description found,"entertainment, success, motivation, personal growth, goals",2023
https://www.ted.com/talks/cordae_how_a_hi_level_mindset_helps_you_realize_your_potential?referrer=playlist-the_most_popular_ted_talks_of_2022&autoplay=true,"How a ""Hi Level"" mindset helps you realize your potential",No description found,"culture, music, creativity, storytelling, motivation, personal growth, goals",2022
https://www.ted.com/talks/catherine_price_why_having_fun_is_the_secret_to_a_healthier_life?referrer=playlist-the_most_popular_ted_talks_of_2022&autoplay=true,Why having fun is the secret to a healthier life,No description found,"science, health, psychology, happiness, motivation, personal growth",2022
https://www.ted.com/talks/bevy_smith_how_to_discover_your_authentic_self_at_any_age?referrer=playlist-the_most_popular_ted_talks_of_2022&autoplay=true,How to discover your authentic self -- at any age,No description found,"relationships, work, motivation, personal growth, self, goals",2022
