link,title,description
https://www.ted.com/talks/lucy_king_how_bees_can_keep_the_peace_between_elephants_and_humans?referrer=playlist-the_most_popular_talks_of_2020&autoplay=true,How bees can keep the peace between elephants and humans,No description found
https://www.ted.com/talks/anindya_kundu_the_opportunity_gap_in_us_public_education_and_how_to_close_it?referrer=playlist-the_most_popular_talks_of_2020&autoplay=true,"The ""opportunity gap"" in US public education -- and how to close it",No description found
https://www.ted.com/talks/colette_pichon_battle_climate_change_will_displace_millions_here_s_how_we_prepare?referrer=playlist-the_most_popular_talks_of_2020&autoplay=true,Climate change will displace millions. Here's how we prepare,No description found
https://www.ted.com/talks/dr_phillip_atiba_solomon_rashad_robinson_dr_bernice_king_anthony_d_romero_the_path_to_ending_systemic_racism_in_the_us?referrer=playlist-the_most_popular_talks_of_2020&autoplay=true,The path to ending systemic racism in the US,No description found
https://www.ted.com/talks/debbie_millman_how_symbols_and_brands_shape_our_humanity?referrer=playlist-the_most_popular_talks_of_2020&autoplay=true,How symbols and brands shape our humanity,No description found
https://www.ted.com/talks/jennifer_l_eberhardt_how_racial_bias_works_and_how_to_disrupt_it?referrer=playlist-the_most_popular_talks_of_2020&autoplay=true,How racial bias works -- and how to disrupt it,No description found
https://www.ted.com/talks/elizabeth_gilbert_it_s_ok_to_feel_overwhelmed_here_s_what_to_do_next?referrer=playlist-the_most_popular_talks_of_2020&autoplay=true,It's OK to feel overwhelmed. Here's what to do next,No description found
https://www.ted.com/talks/angelicque_white_what_ocean_microbes_reveal_about_the_changing_climate?referrer=playlist-the_most_popular_talks_of_2020&autoplay=true,What ocean microbes reveal about the changing climate,No description found
https://www.ted.com/talks/greta_thunberg_the_disarming_case_to_act_right_now_on_climate_change?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,The disarming case to act right now on climate change,No description found
https://www.ted.com/talks/lydia_machova_the_secrets_of_learning_a_new_language?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,The secrets of learning a new language,No description found
https://www.ted.com/talks/carole_cadwalladr_facebook_s_role_in_brexit_and_the_threat_to_democracy?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,Facebook's role in Brexit -- and the threat to democracy,No description found
https://www.ted.com/talks/nora_mcinerny_we_don_t_move_on_from_grief_we_move_forward_with_it?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,"We don't ""move on"" from grief. We move forward with it",No description found
https://www.ted.com/talks/matt_walker_sleep_is_your_superpower?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,Sleep is your superpower,No description found
https://www.ted.com/talks/george_blair_west_3_ways_to_build_a_happy_marriage_and_avoid_divorce?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,3 ways to build a happy marriage and avoid divorce,No description found
https://www.ted.com/talks/katie_hood_the_difference_between_healthy_and_unhealthy_love?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,The difference between healthy and unhealthy love,No description found
https://www.ted.com/talks/johann_hari_this_could_be_why_you_re_depressed_or_anxious?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,This could be why you're depressed or anxious,No description found
https://www.ted.com/talks/brittany_packnett_cunningham_how_to_build_your_confidence_and_spark_it_in_others?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,How to build your confidence -- and spark it in others,No description found
https://www.ted.com/talks/natalie_fratto_3_ways_to_measure_your_adaptability_and_how_to_improve_it?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,3 ways to measure your adaptability -- and how to improve it,No description found
https://www.ted.com/talks/suleika_jaouad_what_almost_dying_taught_me_about_living?referrer=playlist-the_most_popular_talks_of_2019&autoplay=true,What almost dying taught me about living,No description found
https://www.ted.com/talks/alex_honnold_how_i_climbed_a_3_000_foot_vertical_cliff_without_ropes?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,"How I climbed a 3,000-foot vertical cliff -- without ropes",No description found
https://www.ted.com/talks/wendy_suzuki_the_brain_changing_benefits_of_exercise?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,The brain-changing benefits of exercise,No description found
https://www.ted.com/talks/dolly_chugh_how_to_let_go_of_being_a_good_person_and_become_a_better_person?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,"How to let go of being a ""good"" person -- and become a better person",No description found
https://www.ted.com/talks/prosanta_chakrabarty_four_billion_years_of_evolution_in_six_minutes?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,Four billion years of evolution in six minutes,No description found
https://www.ted.com/talks/lera_boroditsky_how_language_shapes_the_way_we_think?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,How language shapes the way we think,No description found
https://www.ted.com/talks/tom_griffiths_3_ways_to_make_better_decisions_by_thinking_like_a_computer?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,3 ways to make better decisions -- by thinking like a computer,No description found
https://www.ted.com/talks/burcin_mutlu_pakdil_a_rare_galaxy_that_s_challenging_our_understanding_of_the_universe?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,A rare galaxy that's challenging our understanding of the universe,No description found
https://www.ted.com/talks/christine_porath_why_being_respectful_to_your_coworkers_is_good_for_business?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,Why being respectful to your coworkers is good for business,No description found
https://www.ted.com/talks/susan_david_the_gift_and_power_of_emotional_courage?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,The gift and power of emotional courage,No description found
https://www.ted.com/talks/christoph_niemann_you_are_fluent_in_this_language_and_don_t_even_know_it?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,You are fluent in this language (and don't even know it),No description found
https://www.ted.com/talks/kashmir_hill_and_surya_mattu_what_your_smart_devices_know_and_share_about_you?referrer=playlist-the_most_popular_ted_talks_of_2018&autoplay=true,What your smart devices know (and share) about you,No description found
https://www.ted.com/talks/elon_musk_the_future_we_re_building_and_boring?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,The future we're building -- and boring,No description found
https://www.ted.com/talks/anjan_chatterjee_how_your_brain_decides_what_is_beautiful?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,How your brain decides what is beautiful,No description found
https://www.ted.com/talks/megan_phelps_roper_i_grew_up_in_the_westboro_baptist_church_here_s_why_i_left?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,I grew up in the Westboro Baptist Church. Here's why I left,No description found
https://www.ted.com/talks/shah_rukh_khan_thoughts_on_humanity_fame_and_love?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,"Thoughts on humanity, fame and love",No description found
https://www.ted.com/talks/anil_seth_your_brain_hallucinates_your_conscious_reality?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,Your brain hallucinates your conscious reality,No description found
https://www.ted.com/talks/emily_esfahani_smith_there_s_more_to_life_than_being_happy?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,There's more to life than being happy,No description found
https://www.ted.com/talks/joseph_redmon_how_computers_learn_to_recognize_objects_instantly?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,How computers learn to recognize objects instantly,No description found
https://www.ted.com/talks/adam_grant_are_you_a_giver_or_a_taker?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,Are you a giver or a taker?,No description found
https://www.ted.com/talks/giulia_enders_the_surprisingly_charming_science_of_your_gut?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,The surprisingly charming science of your gut,No description found
https://www.ted.com/talks/adam_alter_why_our_screens_make_us_less_happy?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,Why our screens make us less happy,No description found
https://www.ted.com/talks/zeynep_tufekci_we_re_building_a_dystopia_just_to_make_people_click_on_ads?referrer=playlist-most_popular_ted_talks_of_2017&autoplay=true,We're building a dystopia just to make people click on ads,No description found
https://www.ted.com/talks/tim_urban_inside_the_mind_of_a_master_procrastinator?referrer=playlist-the_most_popular_talks_of_2016&autoplay=true,Inside the mind of a master procrastinator,No description found
https://www.ted.com/talks/celeste_headlee_10_ways_to_have_a_better_conversation?referrer=playlist-the_most_popular_talks_of_2016&autoplay=true,10 ways to have a better conversation,No description found
https://www.ted.com/talks/judson_brewer_a_simple_way_to_break_a_bad_habit?referrer=playlist-the_most_popular_talks_of_2016&autoplay=true,A simple way to break a bad habit,No description found
https://www.ted.com/talks/adam_grant_the_surprising_habits_of_original_thinkers?referrer=playlist-the_most_popular_talks_of_2016&autoplay=true,The surprising habits of original thinkers,No description found
https://www.ted.com/talks/kang_lee_can_you_really_tell_if_a_kid_is_lying?referrer=playlist-the_most_popular_talks_of_2016&autoplay=true,Can you really tell if a kid is lying?,No description found
https://www.ted.com/talks/reshma_saujani_teach_girls_bravery_not_perfection?referrer=playlist-the_most_popular_talks_of_2016&autoplay=true,"Teach girls bravery, not perfection",No description found
https://www.ted.com/talks/brian_little_who_are_you_really_the_puzzle_of_personality?referrer=playlist-the_most_popular_talks_of_2016&autoplay=true,"Who are you, really? The puzzle of personality",No description found
https://www.ted.com/talks/julia_galef_why_you_think_you_re_right_even_if_you_re_wrong?referrer=playlist-the_most_popular_talks_of_2016&autoplay=true,Why you think you're right -- even if you're wrong,No description found
https://www.ted.com/talks/shonda_rhimes_my_year_of_saying_yes_to_everything?referrer=playlist-the_most_popular_talks_of_2016&autoplay=true,My year of saying yes to everything,No description found
https://www.ted.com/talks/monica_lewinsky_the_price_of_shame?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,The price of shame,No description found
https://www.ted.com/talks/esther_perel_rethinking_infidelity_a_talk_for_anyone_who_has_ever_loved?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,Rethinking infidelity ... a talk for anyone who has ever loved,No description found
https://www.ted.com/talks/johann_hari_everything_you_think_you_know_about_addiction_is_wrong?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,Everything you think you know about addiction is wrong,No description found
https://www.ted.com/talks/bel_pesce_5_ways_to_kill_your_dreams?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,5 ways to kill your dreams,No description found
https://www.ted.com/talks/greg_gage_how_to_control_someone_else_s_arm_with_your_brain?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,How to control someone else's arm with your brain,No description found
https://www.ted.com/talks/hannah_fry_the_mathematics_of_love?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,The mathematics of love,No description found
https://www.ted.com/talks/takaharu_tezuka_the_best_kindergarten_you_ve_ever_seen?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,The best kindergarten you’ve ever seen,No description found
https://www.ted.com/talks/guy_winch_why_we_all_need_to_practice_emotional_first_aid?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,Why we all need to practice emotional first aid,No description found
https://www.ted.com/talks/bj_miller_what_really_matters_at_the_end_of_life?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,What really matters at the end of life,No description found
https://www.ted.com/talks/scott_dinsmore_how_to_find_work_you_love?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,How to find work you love,No description found
https://www.ted.com/talks/john_green_the_nerd_s_guide_to_learning_everything_online?referrer=playlist-the_most_popular_talks_of_2015_1&autoplay=true,The nerd's guide to learning everything online,No description found
https://www.ted.com/talks/maysoon_zayid_i_got_99_problems_palsy_is_just_one?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,I got 99 problems ... palsy is just one,No description found
https://www.ted.com/talks/louie_schwartzberg_hidden_miracles_of_the_natural_world?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,Hidden miracles of the natural world,No description found
https://www.ted.com/talks/julian_treasure_how_to_speak_so_that_people_want_to_listen?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,How to speak so that people want to listen,No description found
https://www.ted.com/talks/hugh_herr_the_new_bionics_that_let_us_run_climb_and_dance?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,"The new bionics that let us run, climb and dance",No description found
https://www.ted.com/talks/simon_sinek_why_good_leaders_make_you_feel_safe?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,Why good leaders make you feel safe,No description found
https://www.ted.com/talks/ruth_chang_how_to_make_hard_choices?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,How to make hard choices,No description found
https://www.ted.com/talks/edward_snowden_here_s_how_we_take_back_the_internet?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,Here's how we take back the Internet,No description found
https://www.ted.com/talks/sandra_aamodt_why_dieting_doesn_t_usually_work?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,Why dieting doesn't usually work,No description found
https://www.ted.com/talks/guy_hoffman_robots_with_soul?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,"Robots with ""soul""",No description found
https://www.ted.com/talks/jamila_lyiscott_3_ways_to_speak_english?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,3 ways to speak English,No description found
https://www.ted.com/talks/geena_rocero_why_i_must_come_out?referrer=playlist-the_most_popular_talks_of_2014&autoplay=true,Why I must come out,No description found
